iter	RMSE
0	0.9808810395
1	0.9633338333
2	0.9443604649
3	0.9269009255
4	0.9081048084
5	0.8922798953
6	0.8757122986
7	0.8570816908
8	0.8401075259
9	0.8249478678
10	0.8082929023
11	0.7954561635
12	0.7812343996
13	0.7691787855
14	0.75569476
15	0.7427662118
16	0.7295152439
17	0.7160531967
18	0.7045603391
19	0.6908980743
20	0.6797882105
21	0.6667111303
22	0.6557103344
23	0.6451972319
24	0.633468093
25	0.6230803535
26	0.6133616822
27	0.6058781913
28	0.5970024106
29	0.5873583705
30	0.5783717252
31	0.5685696283
32	0.5594490868
33	0.552016547
34	0.5451460671
35	0.536516721
36	0.5283975892
37	0.5213749835
38	0.5140486687
39	0.5066202421
40	0.5016617225
41	0.4948950825
42	0.4882553168
43	0.4823810317
44	0.4750317721
45	0.4695148329
46	0.4629311235
47	0.4576715301
48	0.4523709705
49	0.4455784321
50	0.4389161163
51	0.4343642582
52	0.4294710553
53	0.4248779321
54	0.4200138211
55	0.415192822
56	0.4104838239
57	0.4061651986
58	0.4016219197
59	0.3963788424
60	0.3936164217
61	0.390868356
62	0.38740318
63	0.3824375958
64	0.3789776053
65	0.3757716726
66	0.3726317556
67	0.3676109319
68	0.3647737512
69	0.3619265641
70	0.3590026598
71	0.3561771259
72	0.3529584051
73	0.3502598595
74	0.3482956416
75	0.3450224924
76	0.3424442863
77	0.3381464787
78	0.3359034085
79	0.3334781103
80	0.3300925492
81	0.3266233201
82	0.3244382569
83	0.3216360582
84	0.3184692915
85	0.3153034956
86	0.3130648544
87	0.3107809295
88	0.3084093985
89	0.3069742683
90	0.3039732775
91	0.3014499108
92	0.3003245086
93	0.2984589762
94	0.2962265828
95	0.2938816815
96	0.2918563305
97	0.2896392271
98	0.2883551482
99	0.2875064616
100	0.2863690111
101	0.2848622906
102	0.2820066124
103	0.2797121843
104	0.2785084736
105	0.2769518421
106	0.2756103002
107	0.2734611955
108	0.2718745796
109	0.2703877335
110	0.2680956611
111	0.2659083305
112	0.2648321842
113	0.2630604374
114	0.2619937986
115	0.261060251
116	0.2596294268
117	0.2582147826
118	0.2567072205
119	0.2555304153
120	0.253506105
121	0.2522549649
122	0.2509829371
123	0.2503110832
124	0.2493285991
125	0.2485554051
126	0.2465382352
127	0.2453532017
128	0.2446659406
129	0.2439565942
130	0.2432455643
131	0.2422895318
132	0.2413745729
133	0.2401256195
134	0.2388952996
135	0.2381077781
136	0.2372876958
137	0.2368370489
138	0.2354352018
139	0.2343216712
140	0.2337138984
141	0.2317038707
142	0.2306764899
143	0.2299258422
144	0.2286852087
145	0.2269766622
146	0.2260351496
147	0.2246593027
148	0.2240487963
149	0.2230435363
150	0.2217914674
151	0.2208891385
152	0.2202815553
153	0.2187601684
154	0.2182183391
155	0.2166125804
156	0.215530276
157	0.2151152339
158	0.2138782504
159	0.2130905625
160	0.2119685993
161	0.2104122283
162	0.2093750239
163	0.2084051568
164	0.2072765454
165	0.2068040905
166	0.2056304945
167	0.2047480116
168	0.2038745862
169	0.2021020294
170	0.2010370029
171	0.1997234334
172	0.1987246182
173	0.1976546962
174	0.1969503328
175	0.1962026369
176	0.1947245009
177	0.1937638407
178	0.192607001
179	0.1919564267
180	0.1908853975
181	0.1901984895
182	0.1892944441
183	0.1886285635
184	0.187910036
185	0.1868897635
186	0.1855285006
187	0.1848565622
188	0.1836694598
189	0.1823228246
190	0.1816521938
191	0.1806282659
192	0.1797862019
193	0.1790848023
194	0.1781931015
195	0.1773628884
196	0.1766759249
197	0.175557416
198	0.1751945616
199	0.1746603455
200	0.1740588805
201	0.1728598226
202	0.1720112792
203	0.1713288868
204	0.1709794129
205	0.1703738016
206	0.1697008283
207	0.1686630857
208	0.1680766009
209	0.1672161588
210	0.1664666758
211	0.1656684518
212	0.1653153656
213	0.1648111344
214	0.1637859575
215	0.1631639063
216	0.1627083955
217	0.1618634225
218	0.1611102173
219	0.1607060497
220	0.1598330149
221	0.1589540806
222	0.1583141414
223	0.1573921528
224	0.1566168355
225	0.1561417038
226	0.155199258
227	0.1549126267
228	0.1542469383
229	0.1535335184
230	0.1526864037
231	0.1521673976
232	0.1514303917
233	0.1506748777
234	0.150163548
235	0.1493612531
236	0.148524632
237	0.1480300383
238	0.1475564202
239	0.1470724925
240	0.1465720222
241	0.1460580725
242	0.1455414069
243	0.1449295662
244	0.1445152249
245	0.1439236907
246	0.1435082334
247	0.1428465246
248	0.1424170184
249	0.1418098352
250	0.1413718215
251	0.1406700068
252	0.1401869284
253	0.1396101063
254	0.139228178
255	0.1387552365
256	0.1381162933
257	0.1374901384
258	0.1372640385
259	0.1369208479
260	0.1368186332
261	0.1363160788
262	0.1357375288
263	0.1352807364
264	0.1348475695
265	0.1342446409
266	0.13383093
267	0.1335598428
268	0.1330750265
269	0.1330444622
270	0.132826456
271	0.1326120437
272	0.1322942727
273	0.1322551325
274	0.1315104519
275	0.1309658523
276	0.1303025749
277	0.1299470998
278	0.1299065278
279	0.1296925844
280	0.1294324212
281	0.1289234785
282	0.1286711583
283	0.1284368065
284	0.1284085241
285	0.1283545009
286	0.1282557674
287	0.1276133588
288	0.1275208824
289	0.1270882356
290	0.1267807986
291	0.1266039343
292	0.1263643678
293	0.1263233668
294	0.1262716474
295	0.125858819
296	0.1255261843
297	0.1251475811
298	0.1250948443
299	0.1250579223
300	0.1245118208
301	0.124054977
302	0.1239552502
303	0.1239237733
304	0.1237982337
305	0.1236399195
306	0.123044236
307	0.1229981494
308	0.1228430431
309	0.1221252295
310	0.121751582
311	0.1214155387
312	0.1213842478
313	0.1212029862
314	0.1211749586
315	0.1208234601
316	0.1207148167
317	0.120684868
318	0.1205521778
319	0.1205303632
320	0.1205087919
321	0.1204386238
322	0.1199056514
323	0.1198800586
324	0.1198576786
325	0.1194604352
326	0.1191042362
327	0.118981394
328	0.1189554218
329	0.1182644144
330	0.1176132292
331	0.1175947023
332	0.1174091448
333	0.1173910578
334	0.1173718908
335	0.1170714037
336	0.1165010856
337	0.1161588575
338	0.1156589781
339	0.1151249473
340	0.1148085218
